,title,link,hood,price,bed,bath,sqft,type,laundry,parking,cats,dogs,furnished,nosmoke,wheelchair,img,words,region
0,Comfort & Convenience In North San Jose!,https://sfbay.craigslist.org/sby/apa/d/comfort-convenience-in-north/6567797926.html,(san jose north),4216,3,2.0,1440.0,apartment,5,5,1,1,0,1,1,11,241,0
1,"Vasona, Netflix, LightRail all nearby, AC, wood floor, large closets",https://sfbay.craigslist.org/sby/apa/d/vasona-netflix-lightrail-all/6567797174.html,(campbell),2245,1,1.0,700.0,apartment,2,0,0,0,0,0,0,14,85,0
2,"Your favorite floorplan, SO SPACIOUS! Ready now!",https://sfbay.craigslist.org/sby/apa/d/your-favorite-floorplan-so/6567796615.html,(santa clara),3523,2,2.0,1195.0,apartment,5,4,0,0,0,1,0,6,240,0
3,"LightRail Shuttle, Near Netflix, Dbl pane windows, gym, spa, pool,",https://sfbay.craigslist.org/sby/apa/d/lightrail-shuttle-near/6567796402.html,(campbell),2645,2,1.0,965.0,apartment,0,4,0,0,0,0,0,16,108,0
4,"Recreation Room, Remodled Kitchens, Laundry Faciliites, Clubhouse",https://sfbay.craigslist.org/sby/apa/d/recreation-room-remodled/6561812490.html,(cupertino),2750,2,1.0,960.0,apartment,5,0,0,0,0,0,0,7,283,0
5,"Your home! Newly remodeled,best schools,parks,shopping-pool.gym,spa!",https://sfbay.craigslist.org/sby/apa/d/your-home-newly-remodeledbest/6567795720.html,(campbell),2895,2,2.0,1005.0,apartment,2,0,0,0,0,0,0,15,112,0
6,"PATIO STORAGE, NEAR RANCH99, TRADER JOE'S, FITNESS CENTER, CALL TODAY",https://sfbay.craigslist.org/sby/apa/d/patio-storage-near-ranch99/6567795649.html,(sunnyvale),3475,2,2.0,1064.0,apartment,5,4,0,0,0,1,0,6,313,0
7,Love Where You Live! Make Santana Row Your Home! Come In Now!,https://sfbay.craigslist.org/sby/apa/d/love-where-you-live-make/6567792525.html,(san jose west),3704,2,2.0,1194.0,apartment,5,5,1,1,0,1,0,15,129,0
8,"Newly renovated 3/2 with Central A/C, Garage, Washer/Dryer and Patio",https://sfbay.craigslist.org/sby/apa/d/newly-renovated-3-2-with/6567788495.html,(campbell),3145,3,2.0,1160.0,apartment,5,5,1,1,0,1,0,12,181,0
9,"Minutes to restaurants! Updated 1BR apt, W. San Jose, Modern kitchen",https://sfbay.craigslist.org/sby/apa/d/minutes-to-restaurants/6565828751.html,(san jose west),2095,1,1.0,575.0,apartment,2,4,1,0,0,0,0,9,262,0
10,"Lounge By The Pool. BBQ Grill, Gym Location and Rent Controlled.",https://sfbay.craigslist.org/sby/apa/d/lounge-by-the-pool-bbq-grill/6567775020.html,(san jose west),2195,1,1.0,675.0,apartment,2,4,1,1,0,1,0,16,166,0
