,bed,bath,sqft,type,laundry,parking,cats,dogs,furnished,nosmoke,wheelchair,img,words,link
https://sfbay.craigslist.org/nby/apa/d/1-1-cottage-cazadero/6559540887.html,1BR,1Ba,620ft2,cottage/cabin,0,2,0,0,0,1,0,9,98,https://sfbay.craigslist.org/nby/apa/d/1-1-cottage-cazadero/6559540887.html
https://sfbay.craigslist.org/nby/apa/d/1-1-new-ss-kitchen-near/6569210694.html,1BR,1Ba,708ft2,apartment,5,4,1,1,1,0,0,9,171,https://sfbay.craigslist.org/nby/apa/d/1-1-new-ss-kitchen-near/6569210694.html
https://sfbay.craigslist.org/nby/apa/d/1-bed-1-bath-carpeting/6565075375.html,1BR,1Ba,690ft2,apartment,2,2,1,1,0,1,0,9,170,https://sfbay.craigslist.org/nby/apa/d/1-bed-1-bath-carpeting/6565075375.html
https://sfbay.craigslist.org/nby/apa/d/1-bed-1-bath-custom-light/6569251361.html,1BR,1Ba,689ft2,apartment,5,6,1,0,0,0,0,6,167,https://sfbay.craigslist.org/nby/apa/d/1-bed-1-bath-custom-light/6569251361.html
https://sfbay.craigslist.org/nby/apa/d/1-bed-1-bath-laundry-facility/6567018060.html,1BR,1Ba,690ft2,apartment,2,2,1,1,0,1,0,9,249,https://sfbay.craigslist.org/nby/apa/d/1-bed-1-bath-laundry-facility/6567018060.html
https://sfbay.craigslist.org/nby/apa/d/1-bedroom-1-bath-will-not/6569212136.html,1BR,1Ba,670ft2,apartment,2,4,1,1,0,1,0,4,135,https://sfbay.craigslist.org/nby/apa/d/1-bedroom-1-bath-will-not/6569212136.html
https://sfbay.craigslist.org/nby/apa/d/1-bedroom-garage-beautiful/6569129666.html,1BR,1Ba,628ft2,apartment,5,5,1,1,0,0,0,16,186,https://sfbay.craigslist.org/nby/apa/d/1-bedroom-garage-beautiful/6569129666.html
https://sfbay.craigslist.org/nby/apa/d/1-bedroom-in-penngrove/6565037659.html,1BR,1Ba,available apr 18,manufactured,2,2,0,0,0,1,0,6,108,https://sfbay.craigslist.org/nby/apa/d/1-bedroom-in-penngrove/6565037659.html
https://sfbay.craigslist.org/nby/apa/d/1028-county-club-drive/6553598730.html,3BR,2Ba,1960ft2,house,3,6,0,0,0,1,0,23,248,https://sfbay.craigslist.org/nby/apa/d/1028-county-club-drive/6553598730.html
https://sfbay.craigslist.org/nby/apa/d/1043-barrow-lane-gated-5-acre/6569170387.html,4BR,3Ba,3234ft2,house,0,6,0,0,0,0,0,23,198,https://sfbay.craigslist.org/nby/apa/d/1043-barrow-lane-gated-5-acre/6569170387.html
https://sfbay.craigslist.org/nby/apa/d/1058-conifer-lane/6546390911.html,3BR,1Ba,960ft2,house,3,6,0,0,0,1,0,13,109,https://sfbay.craigslist.org/nby/apa/d/1058-conifer-lane/6546390911.html
https://sfbay.craigslist.org/nby/apa/d/151-east-agua-caliente-road/6560495675.html,3BR,1.5Ba,1315ft2,house,5,0,1,1,0,1,0,21,215,https://sfbay.craigslist.org/nby/apa/d/151-east-agua-caliente-road/6560495675.html
https://sfbay.craigslist.org/nby/apa/d/1659a-allyn-st-helena/6543564007.html,0BR,1Ba,available mar 16,apartment,0,2,0,0,0,0,0,6,187,https://sfbay.craigslist.org/nby/apa/d/1659a-allyn-st-helena/6543564007.html
https://sfbay.craigslist.org/nby/apa/d/17387-hillcrest-avenue/6558503472.html,1BR,1Ba,available may 1,duplex,5,0,0,0,0,1,0,8,150,https://sfbay.craigslist.org/nby/apa/d/17387-hillcrest-avenue/6558503472.html
https://sfbay.craigslist.org/nby/apa/d/1x1-available-now-roomy/6560518185.html,1BR,1Ba,880ft2,apartment,5,4,1,1,0,1,0,11,273,https://sfbay.craigslist.org/nby/apa/d/1x1-available-now-roomy/6560518185.html
https://sfbay.craigslist.org/nby/apa/d/1x1-first-floor-in-rincon/6546440739.html,1BR,1Ba,600ft2,apartment,2,2,1,1,0,1,0,11,219,https://sfbay.craigslist.org/nby/apa/d/1x1-first-floor-in-rincon/6546440739.html
https://sfbay.craigslist.org/nby/apa/d/2-1-renovated-apartment-with/6569446323.html,2BR,2Ba,898ft2,apartment,5,4,1,1,0,1,0,11,185,https://sfbay.craigslist.org/nby/apa/d/2-1-renovated-apartment-with/6569446323.html
https://sfbay.craigslist.org/nby/apa/d/2-2-newly-finished-townhome/6569378179.html,2BR,2Ba,1096ft2,apartment,5,4,1,1,0,1,0,12,183,https://sfbay.craigslist.org/nby/apa/d/2-2-newly-finished-townhome/6569378179.html
https://sfbay.craigslist.org/nby/apa/d/2-bd-2-ba-santa-rosa-life-is/6557488495.html,2BR,2Ba,984ft2,condo,5,5,0,0,0,1,0,16,108,https://sfbay.craigslist.org/nby/apa/d/2-bd-2-ba-santa-rosa-life-is/6557488495.html
https://sfbay.craigslist.org/nby/apa/d/2-bed-1-bath-freeway/6564578988.html,2BR,1Ba,870ft2,apartment,2,2,1,1,0,1,0,9,249,https://sfbay.craigslist.org/nby/apa/d/2-bed-1-bath-freeway/6564578988.html
https://sfbay.craigslist.org/nby/apa/d/2-bed-1-bath-laundry-facility/6569179747.html,2BR,1Ba,870ft2,apartment,2,2,1,1,0,1,0,9,247,https://sfbay.craigslist.org/nby/apa/d/2-bed-1-bath-laundry-facility/6569179747.html
https://sfbay.craigslist.org/nby/apa/d/2-bed-1bath-duplex-in/6558744902.html,2BR,1Ba,available apr 11,apartment,3,2,0,0,0,0,0,6,27,https://sfbay.craigslist.org/nby/apa/d/2-bed-1bath-duplex-in/6558744902.html
https://sfbay.craigslist.org/nby/apa/d/2-bed-25-bath-at-brand-new/6565078752.html,2BR,2.5Ba,available mar 5,townhouse,5,4,0,0,0,1,0,11,376,https://sfbay.craigslist.org/nby/apa/d/2-bed-25-bath-at-brand-new/6565078752.html
https://sfbay.craigslist.org/nby/apa/d/2-bedroom-1-bathroom-townhome/6569348830.html,2BR,1Ba,available may 14,townhouse,5,4,0,0,0,1,0,16,409,https://sfbay.craigslist.org/nby/apa/d/2-bedroom-1-bathroom-townhome/6569348830.html
https://sfbay.craigslist.org/nby/apa/d/2-bedroom-2-bath-tiburon/6562596399.html,2BR,2Ba,1100ft2,apartment,4,4,0,0,0,1,0,14,59,https://sfbay.craigslist.org/nby/apa/d/2-bedroom-2-bath-tiburon/6562596399.html
https://sfbay.craigslist.org/nby/apa/d/2-bedroom-condo-in-san-rafael/6563113831.html,2BR,2Ba,available apr 16,condo,5,0,0,0,0,0,0,6,60,https://sfbay.craigslist.org/nby/apa/d/2-bedroom-condo-in-san-rafael/6563113831.html
https://sfbay.craigslist.org/nby/apa/d/2-bedroom-home-views-of-san/6559074048.html,2BR,2.5Ba,available apr 12,house,0,0,0,0,0,0,0,5,88,https://sfbay.craigslist.org/nby/apa/d/2-bedroom-home-views-of-san/6559074048.html
https://sfbay.craigslist.org/nby/apa/d/2-bedroom-townhouse/6569371572.html,2BR,1.5Ba,1212ft2,townhouse,5,4,1,0,0,1,0,10,83,https://sfbay.craigslist.org/nby/apa/d/2-bedroom-townhouse/6569371572.html
https://sfbay.craigslist.org/nby/apa/d/2-bedroom-unit-near-downtown/6553037090.html,2BR,1Ba,available mar 5,apartment,2,2,0,0,0,1,0,4,244,https://sfbay.craigslist.org/nby/apa/d/2-bedroom-unit-near-downtown/6553037090.html
https://sfbay.craigslist.org/nby/apa/d/2150-beautiful-remodeled/6564249630.html,2BR,1.5Ba,1000ft2,townhouse,5,4,1,0,0,1,0,12,32,https://sfbay.craigslist.org/nby/apa/d/2150-beautiful-remodeled/6564249630.html
https://sfbay.craigslist.org/nby/apa/d/292-watertrough-road/6558094847.html,1BR,1Ba,600ft2,cottage/cabin,3,2,1,0,0,1,0,10,38,https://sfbay.craigslist.org/nby/apa/d/292-watertrough-road/6558094847.html
https://sfbay.craigslist.org/nby/apa/d/2bd-2ba-waterfront-world/6569369629.html,2BR,2Ba,1020ft2,apartment,5,4,1,1,0,1,0,9,104,https://sfbay.craigslist.org/nby/apa/d/2bd-2ba-waterfront-world/6569369629.html
https://sfbay.craigslist.org/nby/apa/d/2bd-central-napa-with-large/6562659545.html,2BR,1Ba,available mar 12,house,3,6,0,0,0,1,0,12,250,https://sfbay.craigslist.org/nby/apa/d/2bd-central-napa-with-large/6562659545.html
https://sfbay.craigslist.org/nby/apa/d/2br-apartment-for-rent-short/6565226404.html,2BR,1Ba,available sep 1,apartment,4,2,0,0,1,1,0,3,174,https://sfbay.craigslist.org/nby/apa/d/2br-apartment-for-rent-short/6565226404.html
https://sfbay.craigslist.org/nby/apa/d/2x1-end-unit-in-rincon-valley/6564748078.html,2BR,1Ba,750ft2,apartment,2,4,1,1,0,1,0,20,252,https://sfbay.craigslist.org/nby/apa/d/2x1-end-unit-in-rincon-valley/6564748078.html
https://sfbay.craigslist.org/nby/apa/d/3-1-house-with-huge-yard/6564869534.html,3BR,1Ba,1200ft2,house,5,6,0,1,0,1,0,5,173,https://sfbay.craigslist.org/nby/apa/d/3-1-house-with-huge-yard/6564869534.html
https://sfbay.craigslist.org/nby/apa/d/3-bdrm-1-bath-single-family/6558116461.html,3BR,1Ba,available may 1,house,5,6,0,0,0,1,0,4,88,https://sfbay.craigslist.org/nby/apa/d/3-bdrm-1-bath-single-family/6558116461.html
