,title,link,hood,price
0,"☺ Petaluma Apartment Homes, Laundry Facilities, Warm Firepit",https://sfbay.craigslist.org/nby/apa/d/petaluma-apartment-homes/6569488708.html,,$2429
1,"♥ Great apartments located in Petaluma, Spacious Patio or Balcony, Spa",https://sfbay.craigslist.org/nby/apa/d/great-apartments-located-in/6569506549.html,,$2429
2,Newly Updated Condo - Available Now!,https://sfbay.craigslist.org/nby/apa/d/newly-updated-condo-available/6569515895.html,(novato),$2450
3,"♥ Apartments available in Petaluma, Business center, Play Area",https://sfbay.craigslist.org/nby/apa/d/apartments-available-in/6566885362.html,,$2334
4,"Easy Access to the 101, Upscale Plank Flooring, Bocce Ball Court",https://sfbay.craigslist.org/nby/apa/d/easy-access-to-the-101/6569513599.html,(santa rosa),$2365
5,Quiet Secluded Country Studio above garage,https://sfbay.craigslist.org/nby/apa/d/quiet-secluded-country-studio/6569508935.html,(santa rosa),$1795
6,"Dishwasher, Assigned Garage (Attached and Detached), Scenic View",https://sfbay.craigslist.org/nby/apa/d/dishwasher-assigned-garage/6569505393.html,(novato),$2210
7,"2 bed 1 bath Freeway Accessible, Hardwood Floors",https://sfbay.craigslist.org/nby/apa/d/2-bed-1-bath-freeway/6564578988.html,(Napa),$2055
8,"Tear Drop Lighting, Stainless Steel Appliances, Carpeting and MORE!!!!",https://sfbay.craigslist.org/nby/apa/d/tear-drop-lighting-stainless/6565806581.html,(santa rosa),$2435
9,"Faux Wood Flooring, High Speed Cable and Internet Ready, Scenic View",https://sfbay.craigslist.org/nby/apa/d/faux-wood-flooring-high-speed/6561892405.html,(novato),$2160
10,"☆ Apartments In the middle of Petaluma, Club House, Business center",https://sfbay.craigslist.org/nby/apa/d/apartments-in-the-middle-of/6569491735.html,,$2429
11,"Amazing 1bd/1bth wood floors washer&dryer, parking, great location",https://sfbay.craigslist.org/nby/apa/d/amazing-1bd-1bth-wood-floors/6569487183.html,(san rafael),$2740
12,Private 3 bedroom 2 bath home on creek-side downtown property,https://sfbay.craigslist.org/nby/apa/d/private-3-bedroom-2-bath-home/6565735823.html,(fairfax),$4600
13,"2 bed, 2.5 bath at Brand New Esposti Park Apartments",https://sfbay.craigslist.org/nby/apa/d/2-bed-25-bath-at-brand-new/6565078752.html,(healdsburg / windsor),$2530
14,Brand New Espositi Park Apartments in Windsor,https://sfbay.craigslist.org/nby/apa/d/brand-new-espositi-park/6552844922.html,(santa rosa),$2145
15,"Montevilla Apts, Water/Garbage & Heat Included with Rent",https://sfbay.craigslist.org/nby/apa/d/montevilla-apts-water-garbage/6552853468.html,(santa rosa),$1900
16,❤LOVE YOUR NEW HOME AT THE LOFTS❤,https://sfbay.craigslist.org/nby/apa/d/love-your-new-home-at-the/6569449193.html,(WE OFFER GARAGES!),$1550
17,caretaker needed,https://sfbay.craigslist.org/nby/apa/d/caretaker-needed/6556511809.html,(mendocino county),$1
18,Lovely 3 Bedroom 2 Bath House Westvale Ct Santa Rosa,https://sfbay.craigslist.org/nby/apa/d/lovely-3-bedroom-2-bath-house/6569467408.html,(santa rosa),$3100
19,Apartment,https://sfbay.craigslist.org/nby/apa/d/apartment/6564622786.html,(sonoma),$1795
20,"Blocks from Downtown, Historical Home for Rent",https://sfbay.craigslist.org/nby/apa/d/blocks-from-downtown/6553270623.html,(petaluma),$2950
21,A HIGHER QUALITY OF LIVING * COME HOME TO LUXURY! W/D INCL.,https://sfbay.craigslist.org/nby/apa/d/higher-quality-of-living-come/6558102023.html,(santa rosa),$2329
22,"GORGEOUSLY UPDATED 1X1-DESIGNER APPLIANCES, COUNTERS & PAINT",https://sfbay.craigslist.org/nby/apa/d/gorgeously-updated-1x1/6569461218.html,(santa rosa),$2074
