,bed,bath,sqft,type,lanudry,parking,cats,dogs,furnished,nosmoke,wheelchair,img,words,link
https://sfbay.craigslist.org/sby/apa/d/0-bed-1-bath-spacious-closet/6567654534.html,0BR , 1Ba,395ft2,apartment,0,0,0,0,0,0,0,9,174,https://sfbay.craigslist.org/sby/apa/d/0-bed-1-bath-spacious-closet/6567654534.html
https://sfbay.craigslist.org/sby/apa/d/1-2-off-1st-month-perfect/6567745937.html,2BR , 1Ba,1100ft2,apartment,4,4,0,0,0,0,0,10,226,https://sfbay.craigslist.org/sby/apa/d/1-2-off-1st-month-perfect/6567745937.html
https://sfbay.craigslist.org/sby/apa/d/1-2-off-first-months-rent/6567760337.html,2BR , 1Ba,1000ft2,apartment,4,4,0,0,0,0,0,3,226,https://sfbay.craigslist.org/sby/apa/d/1-2-off-first-months-rent/6567760337.html
https://sfbay.craigslist.org/sby/apa/d/1-bed-1-bath-beautiful/6567652563.html,1BR , 1Ba,665ft2,apartment,4,4,1,1,0,1,0,9,159,https://sfbay.craigslist.org/sby/apa/d/1-bed-1-bath-beautiful/6567652563.html
https://sfbay.craigslist.org/sby/apa/d/1-bed-1-bath-july-move/6567481809.html,1BR , 1Ba,600ft2,apartment,5,4,1,1,0,1,0,24,131,https://sfbay.craigslist.org/sby/apa/d/1-bed-1-bath-july-move/6567481809.html
https://sfbay.craigslist.org/sby/apa/d/1-bed-1-bath-pet-friendly-and/6565733181.html,1BR , 1Ba,665ft2,apartment,4,4,1,1,0,1,0,9,167,https://sfbay.craigslist.org/sby/apa/d/1-bed-1-bath-pet-friendly-and/6565733181.html
https://sfbay.craigslist.org/sby/apa/d/1-bed-1-bath-walk-to-westgate/6567748662.html,1BR , 1Ba,615ft2,apartment,4,4,0,0,0,1,0,8,153,https://sfbay.craigslist.org/sby/apa/d/1-bed-1-bath-walk-to-westgate/6567748662.html
https://sfbay.craigslist.org/sby/apa/d/1-bedroom-1-bath-apartment-no/6554547469.html,1BR , 1Ba,720ft2,apartment,2,4,1,1,0,1,0,13,234,https://sfbay.craigslist.org/sby/apa/d/1-bedroom-1-bath-apartment-no/6554547469.html
https://sfbay.craigslist.org/sby/apa/d/1-bedroom1-bathroomcreekside/6544381598.html,1BR , 1Ba,640ft2,apartment,2,4,0,0,0,0,0,5,279,https://sfbay.craigslist.org/sby/apa/d/1-bedroom1-bathroomcreekside/6544381598.html
https://sfbay.craigslist.org/sby/apa/d/1-br-remodeled-unit-ready-for/6561932480.html,1BR , 1Ba,available apr 15,apartment,4,4,0,0,0,0,0,6,45,https://sfbay.craigslist.org/sby/apa/d/1-br-remodeled-unit-ready-for/6561932480.html
