,title,link,hood,price
0,Comfort & Convenience In North San Jose!,https://sfbay.craigslist.org/sby/apa/d/comfort-convenience-in-north/6567797926.html,(san jose north),$4216
1,"Vasona, Netflix, LightRail all nearby, AC, wood floor, large closets",https://sfbay.craigslist.org/sby/apa/d/vasona-netflix-lightrail-all/6567797174.html,(campbell),$2245
2,"Your favorite floorplan, SO SPACIOUS! Ready now!",https://sfbay.craigslist.org/sby/apa/d/your-favorite-floorplan-so/6567796615.html,(santa clara),$3523
3,"LightRail Shuttle, Near Netflix, Dbl pane windows, gym, spa, pool,",https://sfbay.craigslist.org/sby/apa/d/lightrail-shuttle-near/6567796402.html,(campbell),$2645
4,"Recreation Room, Remodled Kitchens, Laundry Faciliites, Clubhouse",https://sfbay.craigslist.org/sby/apa/d/recreation-room-remodled/6561812490.html,(cupertino),$2750
5,"Your home! Newly remodeled,best schools,parks,shopping-pool.gym,spa!",https://sfbay.craigslist.org/sby/apa/d/your-home-newly-remodeledbest/6567795720.html,(campbell),$2895
6,"PATIO STORAGE, NEAR RANCH99, TRADER JOE'S, FITNESS CENTER, CALL TODAY",https://sfbay.craigslist.org/sby/apa/d/patio-storage-near-ranch99/6567795649.html,(sunnyvale),$3475
7,Love Where You Live! Make Santana Row Your Home! Come In Now!,https://sfbay.craigslist.org/sby/apa/d/love-where-you-live-make/6567792525.html,(san jose west),$3704
8,"Time for a change! Lease Today and Receive A $1,000 Move-In Bonus!",https://sfbay.craigslist.org/sby/apa/d/time-for-change-lease-today/6567791510.html,(willow glen / cambrian),$3130
9,Detached in law unit for rent in Evergreen,https://sfbay.craigslist.org/sby/apa/d/detached-in-law-unit-for-rent/6567770077.html,(san jose south),$1750
10,"Newly renovated 3/2 with Central A/C, Garage, Washer/Dryer and Patio",https://sfbay.craigslist.org/sby/apa/d/newly-renovated-3-2-with/6567788495.html,(campbell),$3145
11,"Minutes to restaurants! Updated 1BR apt, W. San Jose, Modern kitchen",https://sfbay.craigslist.org/sby/apa/d/minutes-to-restaurants/6565828751.html,(san jose west),$2095
12,"Lounge By The Pool. BBQ Grill, Gym Location and Rent Controlled.",https://sfbay.craigslist.org/sby/apa/d/lounge-by-the-pool-bbq-grill/6567775020.html,(san jose west),$2195
13,Move in to this amazing home aval in May.,https://sfbay.craigslist.org/sby/apa/d/move-in-to-this-amazing-home/6567786461.html,(santa clara),$2436
14,Move in to this amazing home aval in March.,https://sfbay.craigslist.org/sby/apa/d/move-in-to-this-amazing-home/6567785688.html,(santa clara),$2802
15,2b|1b Does Your Apartment Have A Fullsize W/D? Our Apartments Do!,https://sfbay.craigslist.org/sby/apa/d/2b1b-does-your-apartment-have/6567785091.html,(san jose downtown),$3035
16,New Upgraded Interiors available!!!!!,https://sfbay.craigslist.org/sby/apa/d/new-upgraded-interiors/6567784928.html,(Boca Raton),$2190
17,出租独立的套房(in-law unit)  $1800,https://sfbay.craigslist.org/sby/apa/d/in-law-unit-1800/6567782004.html,(milpitas),$1800
18,⌚ is Running Out! 1x1 Available now!,https://sfbay.craigslist.org/sby/apa/d/is-running-out-1x1-available/6567782745.html,(san jose downtown),$2511
19,"Move in Special, $500.00 off when you Tour and Lease Today*",https://sfbay.craigslist.org/sby/apa/d/move-in-specialoff-when-you/6567782353.html,(santa clara),$2930
20,Brand New Studio Apartment. Next to Apple Campus!,https://sfbay.craigslist.org/sby/apa/d/brand-new-studio-apartment/6567781335.html,(cupertino),$3010
